RP,RP_Start,RP_End,Months_since_start,CP_C,Annual_Credit_C,Annual_Credit_C_Adj
1,31/10/2025,30/06/2026,60,61871.04,61871.04,46597.538
2,31/10/2026,30/06/2027,72,74125.892,12254.852,11642.1094
3,31/10/2027,30/06/2028,84,86380.744,12254.852,11642.1094
4,31/10/2028,30/06/2029,96,98635.596,12254.852,11642.1094
5,31/10/2029,30/06/2030,108,110890.448,12254.852,11642.1094
6,31/10/2030,30/06/2031,120,123145.3,12254.852,11642.1094
7,31/10/2031,30/06/2032,132,135400.152,12254.852,11642.1094
8,31/10/2032,30/06/2033,144,147655.004,12254.852,11642.1094
9,31/10/2033,30/06/2034,156,159909.856,12254.852,11642.1094
10,31/10/2034,30/06/2035,168,172164.708,12254.852,11642.1094
11,31/10/2035,30/06/2036,180,184419.56,12254.852,11642.1094
12,31/10/2036,30/06/2037,192,184419.56,0,0
13,31/10/2037,30/06/2038,204,184419.56,0,0
14,31/10/2038,30/06/2039,216,184419.56,0,0
15,31/10/2039,30/06/2040,228,184419.56,0,0
16,31/10/2040,30/06/2041,240,184419.56,0,0
17,31/10/2041,30/06/2042,252,184419.56,0,0
18,31/10/2042,30/06/2043,264,184419.56,0,0
19,31/10/2043,30/06/2044,276,184419.56,0,0
20,31/10/2044,30/06/2045,288,184419.56,0,0
21,31/10/2045,30/06/2046,300,184419.56,0,0
