RP,RP_Start,RP_End,Months_since_CEA_defined,"CP_Method_CO2e (Eq16, includes Eq16 DPP)",Delta_CP_Method_CO2e,"Issued_ACCUs_CO2e (Delta * issuance_factor, minus RP1 deduction if set)",
1,31/10/2025,30/06/2026,60,37737.9175,37737.9175,15482.43813,
2,31/10/2026,30/06/2027,72,45201.873,7463.9555,5597.966625,
3,31/10/2027,30/06/2028,84,52665.8285,7463.9555,5597.966625,
4,31/10/2028,30/06/2029,96,60129.784,7463.9555,5597.966625,
5,31/10/2029,30/06/2030,108,67593.7395,7463.9555,5597.966625,
6,31/10/2030,30/06/2031,120,75057.695,7463.9555,5597.966625,
7,31/10/2031,30/06/2032,132,82521.6505,7463.9555,5597.966625,
8,31/10/2032,30/06/2033,144,89985.606,7463.9555,5597.966625,
9,31/10/2033,30/06/2034,156,97449.5615,7463.9555,5597.966625,
10,31/10/2034,30/06/2035,168,104913.517,7463.9555,5597.966625,
11,31/10/2035,30/06/2036,180,112377.4725,7463.9555,5597.966625,
12,31/10/2036,30/06/2037,192,112377.4725,0,0,71462.10438
13,31/10/2037,30/06/2038,204,112377.4725,0,0,
14,31/10/2038,30/06/2039,216,112377.4725,0,0,
15,31/10/2039,30/06/2040,228,112377.4725,0,0,
16,31/10/2040,30/06/2041,240,112377.4725,0,0,
17,31/10/2041,30/06/2042,252,112377.4725,0,0,
18,31/10/2042,30/06/2043,264,112377.4725,0,0,
19,31/10/2043,30/06/2044,276,112377.4725,0,0,
20,31/10/2044,30/06/2045,288,112377.4725,0,0,
21,31/10/2045,30/06/2046,300,112377.4725,0,0,
